invoice_line_id,invoice_id,invoice_date,airline_code,movement_id,charge_type,quantity,unit_rate,amount_billed,currency
BL00001,INV-202602-SW,2026-02-28,SW,MOV00001,LANDING,242,12.00,2904.02,MYR
BL00002,INV-202602-SW,2026-02-28,SW,MOV00001,PARKING,2,8.00,16.00,MYR
BL00003,INV-202602-SW,2026-02-28,SW,MOV00001,AEROBRIDGE,2,120.00,240.00,MYR
BL00004,INV-202602-SW,2026-02-28,SW,MOV00001,PSC,255,35.00,8925.00,MYR
BL00005,INV-202605-BN,2026-05-31,BN,MOV00002,LANDING,51,12.00,612.00,MYR
BL00006,INV-202605-BN,2026-05-31,BN,MOV00002,AEROBRIDGE,1,120.00,120.00,MYR
BL00007,INV-202605-BN,2026-05-31,BN,MOV00002,PSC,60,35.00,2100.00,MYR
BL00008,INV-202605-TG,2026-05-31,TG,MOV00003,LANDING,79,13.50,1066.50,MYR
BL00009,INV-202605-TG,2026-05-31,TG,MOV00003,PSC,105,35.00,3675.00,MYR
BL00010,INV-202601-FX,2026-01-31,FX,MOV00004,LANDING,347,12.00,4164.00,MYR
BL00011,INV-202601-FX,2026-01-31,FX,MOV00004,PARKING,15,8.00,120.00,MYR
BL00012,INV-202601-FX,2026-01-31,FX,MOV00004,AEROBRIDGE,5,120.00,600.00,MYR
BL00013,INV-202603-VN,2026-03-31,VN,MOV00005,LANDING,242,12.00,2904.00,MYR
BL00014,INV-202603-VN,2026-03-31,VN,MOV00005,PARKING,12,8.00,96.00,MYR
BL00016,INV-202603-VN,2026-03-31,VN,MOV00005,PSC,226,35.00,7910.00,MYR
BL00017,INV-202602-CX,2026-02-28,CX,MOV00006,LANDING,97,12.00,1164.00,MYR
BL00018,INV-202602-CX,2026-02-28,CX,MOV00006,PARKING,10,8.00,80.00,MYR
BL00019,INV-202602-CX,2026-02-28,CX,MOV00006,AEROBRIDGE,4,120.00,480.00,MYR
BL00020,INV-202602-CX,2026-02-28,CX,MOV00006,PSC,203,11.00,2233.00,MYR
BL00021,INV-202603-FX,2026-03-31,FX,MOV00007,LANDING,172,12.00,2063.99,MYR
BL00022,INV-202603-FX,2026-03-31,FX,MOV00007,AEROBRIDGE,1,120.00,120.00,MYR
BL00023,INV-202606-VN,2026-06-30,VN,MOV00008,LANDING,78,13.50,1053.00,MYR
BL00024,INV-202606-VN,2026-06-30,VN,MOV00008,AEROBRIDGE,1,120.00,120.00,MYR
BL00025,INV-202606-VN,2026-06-30,VN,MOV00008,PSC,166,35.00,5810.00,MYR
BL00026,INV-202603-KP,2026-03-31,KP,MOV00009,LANDING,228,12.00,2736.00,MYR
BL00027,INV-202603-KP,2026-03-31,KP,MOV00009,PARKING,109,8.00,872.00,MYR
BL00028,INV-202603-KP,2026-03-31,KP,MOV00009,PSC,170,11.00,1870.00,MYR
BL00029,INV-202605-KP,2026-05-31,KP,MOV00010,LANDING,93,13.50,1255.50,MYR
BL00030,INV-202605-KP,2026-05-31,KP,MOV00010,PARKING,11,8.00,88.00,MYR
