movement_id,flight_no,airline_code,aircraft_reg,aircraft_type,mtow_tonnes,arrival_datetime,departure_datetime,stand,stand_type,pax_departing,scope,status,evidence_ref
MOV00001,SW836,SW,9M-EJH,A333,242,2026-02-09 19:50,2026-02-09 21:14,A04,CONTACT,255,INTERNATIONAL,COMPLETED,EVD-20260209-0001
MOV00002,BN2366,BN,9M-SXP,E190,51,2026-05-21 08:20,2026-05-21 09:04,A02,CONTACT,60,INTERNATIONAL,COMPLETED,EVD-20260521-0002
MOV00003,TG5827,TG,9M-FMW,B738,79,2026-05-29 18:50,2026-05-29 19:41,R13,REMOTE,105,INTERNATIONAL,COMPLETED,EVD-20260529-0003
MOV00004,FX3335,FX,9M-UBH,B77F,347,2026-01-27 08:40,2026-01-27 13:24,A11,CONTACT,0,DOMESTIC,COMPLETED,EVD-20260127-0004
MOV00005,VN5766,VN,9M-XBX,A333,242,2026-03-16 13:05,2026-03-16 16:52,A06,CONTACT,226,INTERNATIONAL,COMPLETED,EVD-20260316-0005
MOV00006,CX3549,CX,9M-PEH,A21N,97,2026-02-25 19:05,2026-02-25 22:25,A06,CONTACT,203,DOMESTIC,COMPLETED,EVD-20260225-0006
MOV00007,FX5111,FX,9M-GYM,A30F,172,2026-03-25 20:45,2026-03-25 21:33,A06,CONTACT,0,INTERNATIONAL,COMPLETED,EVD-20260325-0007
MOV00008,VN2712,VN,9M-GHV,A320,78,2026-06-06 12:20,2026-06-06 13:16,A22,CONTACT,166,INTERNATIONAL,COMPLETED,EVD-20260606-0008
MOV00009,KP4820,KP,9M-BJY,B788,228,2026-03-04 10:25,2026-03-05 14:35,R13,REMOTE,170,DOMESTIC,COMPLETED,EVD-20260304-0009
MOV00010,KP7767,KP,9M-AYC,A321,93,2026-05-19 11:25,2026-05-19 15:00,A11,CONTACT,152,INTERNATIONAL,COMPLETED,EVD-20260519-0010
MOV00011,CQ4938,CQ,9M-GEX,A333,242,2026-04-06 09:50,2026-04-06 12:21,A17,CONTACT,172,INTERNATIONAL,COMPLETED,EVD-20260406-0011
MOV00012,ML3535,ML,9M-QSL,B738,79,2026-01-24 07:45,2026-01-24 09:39,A20,CONTACT,135,DOMESTIC,COMPLETED,EVD-20260124-0012
MOV00013,VN5466,VN,9M-MZY,A21N,97,2026-04-24 16:05,2026-04-24 17:26,A13,CONTACT,167,INTERNATIONAL,COMPLETED,EVD-20260424-0013
MOV00014,RJ8137,RJ,9M-PWM,E190,51,2026-06-05 07:00,2026-06-05 09:56,A21,CONTACT,58,INTERNATIONAL,COMPLETED,EVD-20260605-0014
MOV00015,KP9945,KP,9M-UUU,A333,242,2026-02-23 11:20,2026-02-23 12:38,A22,CONTACT,273,DOMESTIC,COMPLETED,EVD-20260223-0015
MOV00016,ML5564,ML,9M-AQK,A359,280,2026-04-09 22:45,2026-04-10 02:19,R10,REMOTE,255,INTERNATIONAL,COMPLETED,EVD-20260409-0016
MOV00017,GA230,GA,9M-XRS,AT72,23,2026-06-17 13:20,2026-06-17 15:00,R08,REMOTE,54,INTERNATIONAL,COMPLETED,EVD-20260617-0017
MOV00018,ML3490,ML,9M-WXZ,A320,78,2026-03-30 21:45,2026-03-31 01:41,R06,REMOTE,129,INTERNATIONAL,DIVERTED,EVD-20260330-0018
MOV00019,BN7867,BN,9M-GTE,B77W,351,2026-06-01 21:30,2026-06-02 22:03,A13,CONTACT,301,DOMESTIC,COMPLETED,EVD-20260601-0019
MOV00020,VN8565,VN,9M-XQM,B77W,351,2026-04-18 18:00,2026-04-18 22:09,A22,CONTACT,243,INTERNATIONAL,COMPLETED,EVD-20260418-0020
MOV00021,QC669,QC,9M-SBE,B74F,412,2026-06-26 21:50,2026-06-26 22:58,A01,CONTACT,0,DOMESTIC,COMPLETED,EVD-20260626-0021
MOV00022,FX2389,FX,9M-YAL,B733F,63,2026-03-14 08:00,2026-03-14 18:24,A12,CONTACT,0,DOMESTIC,COMPLETED,EVD-20260314-0022
MOV00023,TG4110,TG,9M-EJL,A321,93,2026-03-05 14:30,2026-03-05 17:57,A04,CONTACT,182,INTERNATIONAL,COMPLETED,EVD-20260305-0023
MOV00024,ML7637,ML,9M-TWE,A359,280,2026-02-21 12:50,2026-02-21 16:28,R11,REMOTE,220,DOMESTIC,COMPLETED,EVD-20260221-0024
MOV00025,KP2439,KP,9M-BNK,A320,78,2026-05-28 22:30,2026-05-29 01:59,A15,CONTACT,142,INTERNATIONAL,COMPLETED,EVD-20260528-0025
MOV00026,BN9080,BN,9M-NKW,E190,51,2026-02-05 16:20,2026-02-05 17:10,A07,CONTACT,65,INTERNATIONAL,COMPLETED,EVD-20260205-0026
MOV00027,VN5684,VN,9M-VCH,A359,280,2026-06-20 19:30,2026-06-20 20:33,A02,CONTACT,251,INTERNATIONAL,COMPLETED,EVD-20260620-0027
MOV00028,CQ4748,CQ,9M-RRK,B788,228,2026-03-07 14:20,2026-03-07 15:17,A17,CONTACT,140,DOMESTIC,COMPLETED,EVD-20260307-0028
MOV00029,GA7692,GA,9M-BTL,B788,228,2026-06-19 22:50,2026-06-19 23:55,A15,CONTACT,198,DOMESTIC,COMPLETED,EVD-20260619-0029
MOV00030,TG3580,TG,9M-SST,B77W,351,2026-06-04 05:05,2026-06-04 06:25,R07,REMOTE,198,DOMESTIC,COMPLETED,EVD-20260604-0030
MOV00031,SW5320,SW,9M-GVN,AT72,23,2026-03-31 17:05,2026-03-31 21:23,R16,REMOTE,65,INTERNATIONAL,COMPLETED,EVD-20260331-0031
MOV00032,FX610,FX,9M-ADS,A30F,172,2026-04-23 07:10,2026-04-23 09:44,A06,CONTACT,0,INTERNATIONAL,COMPLETED,EVD-20260423-0032
MOV00033,RJ493,RJ,9M-XXB,E190,51,2026-02-02 17:05,2026-02-04 00:36,A14,CONTACT,67,INTERNATIONAL,COMPLETED,EVD-20260202-0033
MOV00034,KP9943,KP,9M-TSR,B77W,351,2026-03-02 22:40,2026-03-03 03:24,A20,CONTACT,195,INTERNATIONAL,COMPLETED,EVD-20260302-0034
MOV00035,TG6841,TG,9M-QAA,B738,79,2026-01-15 17:15,2026-01-15 18:24,A05,CONTACT,103,DOMESTIC,COMPLETED,EVD-20260115-0035
MOV00036,SW5401,SW,9M-XNS,A359,280,2026-02-20 21:10,2026-02-20 22:22,A11,CONTACT,261,DOMESTIC,COMPLETED,EVD-20260220-0036
MOV00037,KP4019,KP,9M-PKM,B77W,351,2026-03-25 21:10,2026-03-25 21:56,A21,CONTACT,333,DOMESTIC,COMPLETED,EVD-20260325-0037
MOV00038,SW4549,SW,9M-CNN,A320,78,2026-01-12 05:20,2026-01-13 17:34,A06,CONTACT,154,INTERNATIONAL,CANCELLED,EVD-20260112-0038
MOV00039,CX5032,CX,9M-ENU,B738,79,2026-02-28 15:50,2026-02-28 16:48,R08,REMOTE,116,DOMESTIC,COMPLETED,EVD-20260228-0039
MOV00040,KP188,KP,9M-MSQ,A321,93,2026-03-08 17:05,2026-03-08 18:03,R11,REMOTE,150,DOMESTIC,DIVERTED,EVD-20260308-0040
MOV00041,SW409,SW,9M-NDU,B788,228,2026-04-18 08:50,2026-04-19 07:23,A02,CONTACT,195,INTERNATIONAL,DIVERTED,EVD-20260418-0041
MOV00042,CX4898,CX,9M-UHG,E190,51,2026-04-23 19:30,2026-04-23 20:37,A23,CONTACT,80,INTERNATIONAL,COMPLETED,EVD-20260423-0042
MOV00043,TG4010,TG,9M-LTJ,B77W,351,2026-06-11 06:20,2026-06-11 14:27,A22,CONTACT,228,INTERNATIONAL,COMPLETED,EVD-20260611-0043
MOV00044,TG8401,TG,9M-SMZ,A320,78,2026-03-14 18:45,2026-03-14 19:37,A22,CONTACT,114,DOMESTIC,COMPLETED,EVD-20260314-0044
MOV00045,CX2499,CX,9M-QDR,A359,280,2026-06-02 22:50,2026-06-03 00:07,R06,REMOTE,208,DOMESTIC,COMPLETED,EVD-20260602-0045
MOV00046,GA8309,GA,9M-HLY,A333,242,2026-01-31 20:20,2026-01-31 21:10,A03,CONTACT,168,DOMESTIC,COMPLETED,EVD-20260131-0046
MOV00047,CQ6482,CQ,9M-HTS,AT72,23,2026-06-23 07:45,2026-06-23 12:04,A20,CONTACT,40,INTERNATIONAL,COMPLETED,EVD-20260623-0047
MOV00048,FX7262,FX,9M-KPD,B74F,412,2026-04-04 05:20,2026-04-05 03:12,A09,CONTACT,0,INTERNATIONAL,COMPLETED,EVD-20260404-0048
MOV00049,GA803,GA,9M-GCZ,AT72,23,2026-04-22 21:45,2026-04-22 22:47,A06,CONTACT,59,DOMESTIC,COMPLETED,EVD-20260422-0049
MOV00050,VN1147,VN,9M-SZX,AT72,23,2026-01-16 10:45,2026-01-16 11:20,A01,CONTACT,41,DOMESTIC,COMPLETED,EVD-20260116-0050
MOV00051,BN5470,BN,9M-KPZ,A359,280,2026-01-29 09:50,2026-01-29 11:07,R16,REMOTE,203,INTERNATIONAL,COMPLETED,EVD-20260129-0051
MOV00052,SW8431,SW,9M-QVG,A321,93,2026-04-04 15:05,2026-04-04 16:01,A20,CONTACT,164,INTERNATIONAL,COMPLETED,EVD-20260404-0052
MOV00053,KP1148,KP,9M-BWX,A333,242,2026-05-23 15:45,2026-05-23 16:26,A14,CONTACT,172,INTERNATIONAL,CANCELLED,EVD-20260523-0053
MOV00054,KP5036,KP,9M-JRM,A320,78,2026-06-30 15:20,2026-06-30 18:52,R11,REMOTE,122,INTERNATIONAL,COMPLETED,EVD-20260630-0054
MOV00055,ML4342,ML,9M-EFT,A321,93,2026-02-21 18:10,2026-02-22 08:48,A15,CONTACT,136,DOMESTIC,COMPLETED,EVD-20260221-0055
